title,image,year,price,author,rating,publisher,length,ISBN,city/country
The Koala Who Could,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4083/9781408331644.jpg,2017,13.55,Rachel Bright,4.27,Hachette Children's Group,32,9781408331644,"London, United Kingdom"
Aristotle and Dante Dive Into the Waters of the World,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/3985/9781398505278.jpg,2021,19.11,Benjamin Alire Sáenz,4.29,Simon & Schuster Ltd,528,9781398505278,"London, United Kingdom"
Window Shopping,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/0879/9781087987590.jpg,2021,19.89,Tessa Bailey,4.07,Tessa Bailey,258,9781087987590,
The Bell Jar,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5710/9780571081783.jpg,2011,22.26,Sylvia Plath,4.02,Faber & Faber,240,9780571081783,"London, United Kingdom"
The Dinosaur's Diary,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1413/9780141313825.jpg,2002,11.22,Julia Donaldson,3.99,Penguin Random House Children's UK,112,9780141313825,"London, United Kingdom"
It Happened One Summer,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0630/9780063045651.jpg,2021,22.77,Tessa Bailey,4.15,HarperCollins Publishers Inc,416,9780063045651,"New York, United States"
Inward,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4494/9781449495756.jpg,2020,25.68,YUNG PUEBLO,4.4,Andrews McMeel Publishing,240,9781449495756,"Kansas City, United States"
Atomic Habits,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7352/9780735211292.jpg,2018,28.13,James Clear,4.36,Avery Publishing Group,320,9780735211292,United States
The Dessert Game,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9116/9781911668367.jpg,2021,33.27,Reynold Poernomo,5,Murdoch Books,208,9781911668367,"London, United Kingdom"
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6482/9781648279188.jpg,2022,23.99,Mo Xiang Tong Xiu,4.35,"Seven Seas Entertainment, LLC",544,9781648279188,"West Hollywood, United States"
The Vanishing Half,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3497/9780349701479.jpg,2021,14.69,Brit Bennett,4.21,"Little, Brown Book Group",384,9780349701479,"London, United Kingdom"
Foundation,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0081/9780008117498.jpg,2016,10.82,Isaac Asimov,4.17,HarperCollins Publishers,240,9780008117498,"London, United Kingdom"
Come as You Are: Revised and Updated,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9821/9781982165314.jpg,2021,27.77,Emily Nagoski,4.26,Simon & Schuster,400,9781982165314,
Mindset - Updated Edition,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4721/9781472139955.jpg,2017,15.91,Dr Carol Dweck,4.05,"Little, Brown Book Group",320,9781472139955,"London, United Kingdom"
Oh William!,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2415/9780241508176.jpg,2021,24.14,Elizabeth Strout,4.14,Penguin Books Ltd,256,9780241508176,"London, United Kingdom"
The Very Hungry Caterpillar: Little Learning Library,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1413/9780141385112.jpg,2011,13.92,Eric Carle,4.12,Penguin Random House Children's UK,48,9780141385112,"London, United Kingdom"
The Day the Crayons Quit,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0075/9780007513765.jpg,2014,17.11,Drew Daywalt,4.37,HarperCollins Publishers,40,9780007513765,"London, United Kingdom"
"Jujutsu Kaisen, Vol. 6",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974714827.jpg,2020,14.89,Gege Akutami,4.55,"Viz Media, Subs. of Shogakukan Inc",192,9781974714827,"San Francisco, United States"
The Power of Geography,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7839/9781783966028.jpg,2021,19.62,Tim Marshall,4.19,Elliott & Thompson Limited,432,9781783966028,"London, United Kingdom"
This is Going to Hurt,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5098/9781509858637.jpg,2018,13.71,Adam Kay,4.39,Pan Macmillan,256,9781509858637,"London, United Kingdom"
We Were Liars,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4714/9781471403989.jpg,2014,20.77,E. Lockhart,3.8,Hot Key Books,240,9781471403989,"London, United Kingdom"
Stick Man,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407170718.jpg,2016,12.42,Julia Donaldson,4.27,Scholastic,32,9781407170718,"London, United Kingdom"
Treacle Walker,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0084/9780008477790.jpg,2021,24.53,Alan Garner,4.38,HarperCollins Publishers,160,9780008477790,"London, United Kingdom"
Crime and Punishment,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8402/9781840224306.jpg,2000,9.4,Fyodor Dostoevsky,4.23,Wordsworth Editions Ltd,528,9781840224306,"Herts, United Kingdom"
The Great Dune Trilogy,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4732/9781473224469.jpg,2019,63.24,Frank Herbert,4.37,Orion Publishing Co,912,9781473224469,"London, United Kingdom"
The Queen of Nothing (The Folk of the Air #3),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4714/9781471407598.jpg,2020,14.1,Holly Black,4.35,Hot Key Books,320,9781471407598,"London, United Kingdom"
The Unhoneymooners,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3494/9780349417592.jpg,2020,15.0,Christina Lauren,4.02,"Little, Brown Book Group",432,9780349417592,"London, United Kingdom"
The Intelligent Investor,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0605/9780060555665.jpg,2003,31.12,Benjamin Graham,4.22,HarperCollins Publishers Inc,640,9780060555665,"New York, United States"
"Spy x Family, Vol. 4",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974721030.jpg,2021,14.53,Tatsuya Endo,4.54,"Viz Media, Subs. of Shogakukan Inc",192,9781974721030,"San Francisco, United States"
Gateway of Light Activation Oracle,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7881/9781788175883.jpg,2021,22.01,Kyle Gray,,Hay House UK Ltd,176,9781788175883,"London, United Kingdom"
"Best Wishes, Warmest Regards",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/3987/9781398708617.jpg,2021,62.5,Daniel Levy,,Orion Publishing Co,368,9781398708617,"London, United Kingdom"
Maid,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3165/9780316505093.jpg,2020,25.16,Stephanie Land,3.75,Legacy Lit,288,9780316505093,United States
"86 - EIGHTY SIX, Vol. 2 (light novel)",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9753/9781975303143.jpg,2019,21.02,Asato Asato,4.02,"Little, Brown & Company",224,9781975303143,"New York, United States"
The Mountain Is You,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9497/9781949759228.jpg,2020,36.21,Brianna Wiest,4.41,Thought Catalog Books,248,9781949759228,
Six of Crows,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7806/9781780622286.jpg,2016,16.91,Leigh Bardugo,4.47,Hachette Children's Group,512,9781780622286,"London, United Kingdom"
Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6385/9781638581567.jpg,2022,23.99,Mo Xiang Tong Xiu,4.88,Seven Seas,504,9781638581567,United States
Verity,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5387/9781538724736.jpg,2021,25.92,Colleen Hoover,,Grand Central Publishing,336,9781538724736,
Dune,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5293/9781529347852.jpg,2021,20.99,Frank Herbert,4.24,Hodder & Stoughton,592,9781529347852,"London, United Kingdom"
Attached,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5290/9781529032178.jpg,2019,15.52,Amir Levine,4.13,Pan Macmillan,304,9781529032178,"London, United Kingdom"
The Wicked King (The Folk of the Air #2),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4714/9781471407369.jpg,2019,23.71,Holly Black,4.33,Hot Key Books,368,9781471407369,"London, United Kingdom"
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2412/9780241251027.jpg,2021,24.58,Philippa Perry,4.1,Penguin Books Ltd,272,9780241251027,"London, United Kingdom"
Moleskine Ltd. Ed. Peanuts 2022 12-Month Daily Pocket Hardcover Notebook: Yellow,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/8056/4208/8056420857085.jpg,2021,22.37,Moleskine,,Moleskine,400,8056420857085,Italy
"Given, Vol. 6",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974723676.jpg,2021,19.02,Natsuki Kizu,4.46,"Viz Media, Subs. of Shogakukan Inc",162,9781974723676,United States
Scattered Minds,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7850/9781785042218.jpg,2019,18.87,Dr Gabor Mate,4.39,Ebury Publishing,368,9781785042218,"London, United Kingdom"
The Daily Stoic,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7812/9781781257654.jpg,2017,17.75,Ryan Holiday,4.2,Profile Books Ltd,416,9781781257654,"London, United Kingdom"
Six Crimson Cranes,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5293/9781529356557.jpg,2021,31.25,Elizabeth Lim,4.32,HODDER & STOUGHTON,464,9781529356557,"London, United Kingdom"
Chapter House Dune,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4732/9781473233812.jpg,2021,16.07,Frank Herbert,3.92,Orion Publishing Co,480,9781473233812,"London, United Kingdom"
Cytonic,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4732/9781473217935.jpg,2021,30.35,Brandon Sanderson,4.38,Orion Publishing Co,432,9781473217935,"London, United Kingdom"
November 9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4711/9781471154621.jpg,2015,14.87,Colleen Hoover,4.33,Simon & Schuster Ltd,320,9781471154621,"London, United Kingdom"
American Psycho,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4472/9781447277705.jpg,2015,17.63,Bret Easton Ellis,3.82,Pan Macmillan,416,9781447277705,"London, United Kingdom"
Harry Potter Box Set: The Complete Collection (Children's Paperback),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4088/9781408856772.jpg,2020,107.82,J.K. Rowling,4.72,Bloomsbury Publishing PLC,3872,9781408856772,"London, United Kingdom"
Circe,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4088/9781408890042.jpg,2019,17.68,Madeline Miller,4.26,Bloomsbury Publishing PLC,352,9781408890042,"London, United Kingdom"
Wonder,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5525/9780552565974.jpg,2013,15.03,R. J. Palacio,4.4,Penguin Random House Children's UK,320,9780552565974,"London, United Kingdom"
Freedom,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7876/9781787635432.jpg,2021,21.12,Nathan Law,4,Transworld Publishers Ltd,240,9781787635432,"London, United Kingdom"
My Year of Rest and Relaxation,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7847/9781784707422.jpg,2019,23.49,Ottessa Moshfegh,3.7,Vintage Publishing,304,9781784707422,"London, United Kingdom"
Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6482/9781648279201.jpg,2022,23.99,Mo Xiang Tong Xiu,4.83,"Seven Seas Entertainment, LLC",504,9781648279201,"West Hollywood, United States"
Joshua Weissman: An Unapologetic Cookbook. #1 NEW YORK TIMES BESTSELLER,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6156/9781615649983.jpg,2021,38.95,Joshua Weissman,4.4,DK,264,9781615649983,"London, United States"
Think and Grow Rich,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5854/9781585424337.jpg,2005,14.87,Napoleon Hill,4.17,Penguin Putnam Inc,320,9781585424337,"Los Angeles, United States"
The Almanack of Naval Ravikant,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5445/9781544514215.jpg,2020,24.24,Eric Jorgenson,4.59,Magrathea Publishing,242,9781544514215,
Kingdom of the Wicked,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5293/9781529350487.jpg,2021,18.23,Kerri Maniscalco,4.02,Hodder & Stoughton,400,9781529350487,"London, United Kingdom"
"Good Girl, Bad Blood",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4052/9781405297752.jpg,2020,17.22,Holly Jackson,4.4,HarperCollins Publishers,432,9781405297752,United Kingdom
Code Name Verity,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4052/9781405278423.jpg,2015,15.0,Elizabeth Wein,4,HarperCollins Publishers,464,9781405278423,United Kingdom
The Wonderful Things You Will Be,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3853/9780385376716.jpg,2015,26.02,Emily Winfield Martin,4.4,Random House USA Inc,36,9780385376716,"New York, United States"
Breath,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2412/9780241289129.jpg,2021,17.24,James Nestor,4.15,Penguin Books Ltd,304,9780241289129,"London, United Kingdom"
Gangsta Granny,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0073/9780007371464.jpg,2013,15.29,David Walliams,4.28,HarperCollins Publishers,306,9780007371464,"London, United Kingdom"
How the Grinch Stole Christmas!,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0073/9780007365548.jpg,2010,13.86,Dr. Seuss,4.34,HarperCollins Publishers,64,9780007365548,"London, United Kingdom"
"Jujutsu Kaisen, Vol. 5",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974714810.jpg,2020,15.29,Gege Akutami,4.5,"Viz Media, Subs. of Shogakukan Inc",192,9781974714810,"San Francisco, United States"
Call Me By Your Name,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7864/9781786495259.jpg,2017,12.78,Andre Aciman,4.16,Atlantic Books,256,9781786495259,"London, United Kingdom"
Invisible Women,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7847/9781784706289.jpg,2020,18.27,Caroline Criado Perez,4.39,Vintage Publishing,432,9781784706289,"London, United Kingdom"
Twittering Birds Never Fly Volume 2 (Yaoi Manga),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5697/9781569703366.jpg,2021,21.19,Kou Yoneda,4.38,DIGITAL MANGA,200,9781569703366,United States
Six of Crows: Collector's Edition,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5101/9781510106284.jpg,2018,28.55,Leigh Bardugo,4.47,Hachette Children's Group,512,9781510106284,"London, United Kingdom"
The Lion Inside,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4083/9781408331606.jpg,2016,20.21,Rachel Bright,4.36,Hachette Children's Group,32,9781408331606,"London, United Kingdom"
The Shadow and Bone Trilogy Boxed Set,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/2501/9781250196231.jpg,2017,51.53,Leigh Bardugo,4.35,Square Fish,,9781250196231,"New York, Brazil"
The Whole-Brain Child,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5533/9780553386691.jpg,2018,25.69,Daniel J. Siegel,4.24,Random House USA Inc,192,9780553386691,"New York, United States"
Deep Work,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3494/9780349411903.jpg,2016,33.35,Cal Newport,4.17,"Little, Brown Book Group",304,9780349411903,"London, United Kingdom"
The Man Who Died Twice,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2414/9780241425428.jpg,2021,34.04,Richard Osman,4.57,Penguin Books Ltd,432,9780241425428,"London, United Kingdom"
Paddington's Suitcase,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0072/9780007251940.jpg,2007,26.28,Michael Bond,4.62,HarperCollins Publishers,192,9780007251940,"London, United Kingdom"
"Good Vibes, Good Life",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7881/9781788171823.jpg,2018,25.06,Vex King,4.12,Hay House UK Ltd,304,9781788171823,"London, United Kingdom"
The Daily Laws,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7881/9781788168533.jpg,2021,31.95,Robert Greene,4.49,Profile Books Ltd,464,9781788168533,"London, United Kingdom"
Everyone You Hate is Going to Die,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7851/9781785152566.jpg,2021,28.19,Daniel Sloss,4.13,Cornerstone,272,9781785152566,"London, United Kingdom"
Ugly Love: A Novel,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4767/9781476753188.jpg,2014,22.2,Colleen Hoover,4.26,Simon & Schuster,336,9781476753188,United States
The Light Seer's Tarot,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4019/9781401958039.jpg,2019,27.85,Chris-Anne,4.75,Hay House Inc,192,9781401958039,"Carlsbad, United States"
"Set Boundaries, Find Peace",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3494/9780349426952.jpg,2021,21.48,Nedra Glover Tawwab,4.41,"Little, Brown Book Group",304,9780349426952,"London, United Kingdom"
Meine Reise durch Europa: Ausmalen und geniessen,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/4046/9783404617289.jpg,2021,18.1,Rita Berman,,Gustav Lubbe Verlag GmbH,96,9783404617289,"Bergisch Gladbach, Germany"
"My Hero Academia, Vol. 29",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974725106.jpg,2021,15.29,Kohei Horikoshi,4.71,"Viz Media, Subs. of Shogakukan Inc",184,9781974725106,"San Francisco, United States"
Guinness World Records 2022,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9134/9781913484118.jpg,2021,42.35,Guinness World Records,4.29,Guinness World Records Limited,256,9781913484118,United Kingdom
The Little Prince,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8532/9781853261589.jpg,1998,6.5,Antoine de Saint-Exupery,4.31,Wordsworth Editions Ltd,112,9781853261589,"Herts, United Kingdom"
The Courage To Be Disliked,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7606/9781760630737.jpg,2019,16.28,Ichiro Kishimi,4.06,Allen & Unwin,288,9781760630737,"St Leonards, Australia"
Ten Little Fingers and Ten Little Toes,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4063/9781406331264.jpg,2011,14.82,Mem Fox,4.24,Walker Books Ltd,40,9781406331264,"London, United Kingdom"
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6385/9781638582106.jpg,2022,23.99,Mo Xiang Tong Xiu,4.94,Seven Seas,544,9781638582106,United States
I Want My Hat Back,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4063/9781406338539.jpg,2012,13.37,Jon Klassen,4.29,Walker Books Ltd,40,9781406338539,"London, United Kingdom"
What Happened to You?,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5290/9781529068467.jpg,2021,28.38,Oprah Winfrey,4.52,Pan Macmillan,304,9781529068467,"London, United Kingdom"
It Ends with Us,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5011/9781501110368.jpg,2016,21.73,Colleen Hoover,4.42,Atria Books,384,9781501110368,
Sparkly Christmas Sticker Book,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4749/9781474953740.jpg,2019,11.74,Fiona Patchett,4,Usborne Publishing Ltd,32,9781474953740,"London, United Kingdom"
Oi Frog!,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4449/9781444910865.jpg,2015,13.22,Kes Gray,4.27,Hachette Children's Group,32,9781444910865,"London, United Kingdom"
Look Inside Your Body,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4095/9781409549475.jpg,2021,27.06,Louie Stowell,4.6,Usborne Publishing Ltd,14,9781409549475,"London, United Kingdom"
Unnatural Causes,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4059/9781405923538.jpg,2019,21.69,Dr Richard Shepherd,4.34,Penguin Books Ltd,464,9781405923538,"London, United Kingdom"
A Good Girl's Guide to Murder,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4052/9781405293181.jpg,2019,17.43,Holly Jackson,4.36,HarperCollins Publishers,448,9781405293181,United Kingdom
The Korean Vegan Cookbook,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5930/9780593084274.jpg,2021,56.97,Joanna Lee Molinaro,4.71,Penguin Putnam Inc,336,9780593084274,"New York, United States"
Almond,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0629/9780062961389.jpg,2021,23.61,Won-pyung Sohn,4.22,HarperCollins Publishers Inc,272,9780062961389,"New York, United States"
"Solo Leveling, Vol. 3 (Manga)",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9753/9781975336516.jpg,2021,30.48,Chugong,4.71,"Little, Brown & Company",192,9781975336516,"New York, United States"
"One-Punch Man, Vol. 23",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974725120.jpg,2021,15.29,ONE,4.23,"Viz Media, Subs. of Shogakukan Inc",232,9781974725120,"San Francisco, United States"
Don't Let the Pigeon Drive the Bus!,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8442/9781844285136.jpg,2011,12.31,Mo Willems,4.29,Walker Books Ltd,40,9781844285136,"London, United Kingdom"
Ikigai,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7863/9781786330895.jpg,2017,21.47,Hector Garcia,3.71,Cornerstone,208,9781786330895,"London, United Kingdom"
The Storyteller,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7608/9781760859978.jpg,2021,52.82,Dave Grohl,4.63,Simon & Schuster Australia,384,9781760859978,"East Roseville, Australia"
Enid Blyton's Christmas Stories,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4449/9781444922578.jpg,2014,12.82,Enid Blyton,3.94,Hachette Children's Group,352,9781444922578,"London, United Kingdom"
The Girl Who Never Made Mistakes,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4022/9781402255441.jpg,2011,25.27,Gary Rubinstein,4.1,"Sourcebooks, Inc",32,9781402255441,"Naperville, United States"
Goodnight Moon,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/6940/9780694003617.jpg,2011,13.35,Margaret Wise Brown,4.28,HarperCollins Publishers Inc,34,9780694003617,"New York, United States"
Everything I Never Told You,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3491/9780349134284.jpg,2014,14.07,Celeste Ng,3.86,"Little, Brown Book Group",320,9780349134284,"London, United Kingdom"
"Spy x Family, Vol. 6",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974725137.jpg,2021,15.29,Tatsuya Endo,4.46,"Viz Media, Subs. of Shogakukan Inc",200,9781974725137,"San Francisco, United States"
The 48 Laws Of Power,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8619/9781861972781.jpg,2000,28.88,Robert Greene,4.12,Profile Books Ltd,480,9781861972781,"London, United Kingdom"
Never Split the Difference,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8479/9781847941497.jpg,2017,14.24,Chris Voss,4.37,Cornerstone,288,9781847941497,"London, United Kingdom"
The Proof is in the Plants,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7608/9781760890049.jpg,2021,44.36,Simon Hill,4.7,Penguin Random House Australia,416,9781760890049,Australia
Shuggie Bain,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5290/9781529019292.jpg,2021,16.84,Douglas Stuart,4.35,Pan Macmillan,448,9781529019292,"London, United Kingdom"
Harry Potter - A Magical Year,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5266/9781526640871.jpg,2021,42.82,J. K. Rowling,4.53,Bloomsbury Publishing PLC,240,9781526640871,"London, United Kingdom"
The Reverse Coloring Book (R),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5235/9781523515271.jpg,2021,34.62,Kendra Norton,4,Workman Publishing,104,9781523515271,"New York, United States"
Berserk Deluxe Volume 3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5067/9781506712000.jpg,2019,89.74,Kentaro Miura,4.77,"Dark Horse Comics,U.S.",704,9781506712000,"Milwaukie, United States"
Twinkly Twinkly Christmas Tree,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4749/9781474952606.jpg,2018,25.88,Sam Taplin,4.2,Usborne Publishing Ltd,10,9781474952606,"London, United Kingdom"
Look Inside Our World,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4095/9781409563945.jpg,2014,21.68,Emily Bone,4.56,Usborne Publishing Ltd,14,9781409563945,"London, United Kingdom"
Harry Potter and the Philosopher's Stone,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4088/9781408855652.jpg,2014,17.37,J.K. Rowling,4.47,Bloomsbury Publishing PLC,352,9781408855652,"London, United Kingdom"
Peppa Pig: Little Library,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4093/9781409303183.jpg,2011,13.36,Peppa Pig,4.2,Penguin Random House Children's UK,60,9781409303183,"London, United Kingdom"
There Was an Old Lady Who Swallowed a Fly,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/8595/9780859537278.jpg,2000,10.8,Pam Adams,4.22,Child's Play International Ltd,14,9780859537278,"Swindon, United Kingdom"
