title,image,year,price,author,rating,publisher,length,ISBN,city/country
The Hating Game,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3494/9780349414263.jpg,2017,14.31,Sally Thorne,4.1,"Little, Brown Book Group",384,9780349414263,"London, United Kingdom"
Man's Search For Meaning,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8460/9781846041242.jpg,2015,11.59,Viktor E Frankl,4.35,Ebury Publishing,160,9781846041242,"London, United Kingdom"
The Beekeeper of Aleppo,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8387/9781838770013.jpg,2020,13.23,Christy Lefteri,4.2,Bonnier Books Ltd,400,9781838770013,United Kingdom
Atomic Habits,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8479/9781847941831.jpg,2018,27.47,James Clear,4.36,Cornerstone,320,9781847941831,"London, United Kingdom"
Diary of a Wimpy Kid: Big Shot (Book 16),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2413/9780241396650.jpg,2021,21.45,Jeff Kinney,4.59,Penguin Random House Children's UK,224,9780241396650,"London, United Kingdom"
Fleabag: The Scriptures,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5293/9781529341799.jpg,2021,27.58,Phoebe Waller-Bridge,5,Hodder & Stoughton,416,9781529341799,"London, United Kingdom"
This Much is True,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5293/9781529379884.jpg,2022,36.09,Miriam Margolyes,4.4,John Murray Press,448,9781529379884,"London, United Kingdom"
Giraffes Can't Dance,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8412/9781841215655.jpg,2014,12.28,Giles Andreae,4.27,Hachette Children's Group,32,9781841215655,"London, United Kingdom"
No Longer Human,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/8112/9780811204811.jpg,2020,23.56,Osamu Dazai,4.15,New Directions Publishing Corporation,176,9780811204811,"New York, United States"
They Both Die at the End,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4711/9781471166204.jpg,2017,17.79,Adam Silvera,4.02,Simon & Schuster Ltd,384,9781471166204,"London, United Kingdom"
Clarity & Connection,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5248/9781524860486.jpg,2021,25.68,Yung Pueblo,4.43,Andrews McMeel Publishing,256,9781524860486,"Kansas City, United States"
1984,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1410/9780141036144.jpg,2008,14.25,George Orwell,4.19,Penguin Books Ltd,336,9780141036144,"London, United Kingdom"
